Boiler Model,Burner Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Age range of boiler,Is boiler dual fuel capable?,Primary Fuel,Total Estimated Cosumption - Low Estimate (Gallons) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,Total area of buildings on lot,Number of floors,Number of total units,Year constructed
ROCKMILLS MP250,RAY PAEOR-144 SIZE 250,1,8.4,1979,31—35,Not Dual,#6,8890,Yes,2020,Walk-Up Apartments,165452,17,125,1924
ROCKMILLS MP250,ICI DEG-105,1,8.4,1982,26—30,Not Dual,#6,80482,Yes,2016,Elevator Apartments,473391,28,538,1929
ROCKMILLS MP250,INDUSTRIAL COMBUSTION,1,8.9,1979,31—35,Not Dual,#6,86100,Yes,2016,Walk-Up Apartments,172065,13,3,1902
ROCKMILLS MP250,ICI DEG 105P,1,9.3,1983,26—30,Not Dual,#6,67963,Yes,2019,Elevator Apartments,186954,16,3,1961
ROCKMILLS MP250,HEVE DEG 105P,1,9.95,1990,16—20,Not Dual,#6,68985,Yes,2014,Elevator Apartments,135315,20,182,1963
ROCKMILLS MP250,ST JOHNSON FD 68 CAHM - 300,1,10,1988,21—26,Not Dual,#6,75600,Yes,2017,Walk-Up Apartments,137120,17,2,1930
ROCKMILLS MP250,HEV-E-OIL DE 105 TYPE P,1,10.3,1976,31—35,Not Dual,#6,35000,Yes,2016,Elevator Apartments,181297,21,1,1931
ROCKMILLS MP250,HEVE DEG105P,2,10.36,1989,21—26,Not Dual,#6,137970,Yes,2013,Elevator Apartments,268560,4,292,1935
ROCKMILLS MP250,HEV-E-OIL DEG 105P,1,10.4,1986,21—26,Not Dual,#6,46305,Yes,2015,Elevator Apartments,108000,6,151,1940
ROCKMILLS MP250,ICI DEG 105P,1,10.4,1981,26—30,Not Dual,#6,75628,Yes,2018,Elevator Apartments,162651,14,92,1925
ROCKMILLS MP250,HEVE OIL DE 105-S,1,10.5,1973,36—40,Not Dual,#6,47316,Yes,2021,Elevator Apartments,136062,12,73,1913
ROCKMILLS MP250,ICI DE 105P,1,10.5,1978,31—35,Not Dual,#6,51100,Yes,2022,Elevator Apartments,132756,6,142,1927
ROCKMILLS MP250,KEWANEE 250KF7.5-1162 OH,1,10.5,1976,31—35,Not Dual,#6,63000,Yes,2018,Walk-Up Apartments,135102,6,110,1948
ROCKMILLS MP250,HEV-E-OIL DE145P,1,11.4,1977,31—35,Not Dual,#6,157132,Yes,2017,Elevator Apartments,207284,21,191,1964
ROCKMILLS MP250,ICI DE 105,1,11.8,1978,31—35,Not Dual,#6,21000,Yes,2021,Elevator Apartments,145500,11,13,1910
ROCKMILLS MP250SS,ICI MMG 105 P,1,9.98,1985,21—26,Not Dual,#4,77000,Yes,2022,Elevator Apartments,133394,12,265,1969
ROCKMILLS MP30,ICI MMG 14,1,1.41,1985,21—26,Not Dual,#4,14000,No,0,Elevator Apartments,23760,6,20,1927
ROCKMILLS MP300,OTIS 3HC12,1,3.9,1966,41—45,Not Dual,#6,28616,Yes,2020,Elevator Apartments,209113,16,133,1927
ROCKMILLS MP300,KEWANEE KF 10-1562-04,1,10.7,1972,36—40,Not Dual,#6,77928,Yes,2017,Walk-Up Apartments,165401,21,1,1913
ROCKMILLS MP300,HEVEOIL DE 105,1,10.8,1976,31—35,Not Dual,#6,78898,Yes,2017,Elevator Apartments,187911,15,135,1925
ROCKMILLS MP300,ICI DEG 145 P,1,11.9,1989,21—26,Not Dual,#6,87500,Yes,2016,Office Buildings,357000,24,413,1908
ROCKMILLS MP300,ICI DEG 145P,1,12.6,1985,21—26,Not Dual,#6,49000,Yes,2014,Walk-Up Apartments,181700,6,131,1929
ROCKMILLS MP300,ST.JOHNSON FD68 CAHM 300,1,12.6,1988,21—26,Not Dual,#6,87500,Yes,2016,Elevator Apartments,153347,16,153,1961
ROCKMILLS MP300,HEVE DEG145P,2,12.62,1989,21—26,Not Dual,#6,183960,Yes,2022,Walk-Up Apartments,320157,4,360,1935
ROCKMILLS MP300,HEV-E-OIL DEG 145S,1,13.4,1978,31—35,Not Dual,#6,123023,Yes,2021,Elevator Apartments,139650,6,119,1929
ROCKMILLS MP300 SL,HEVE DEG145P,2,12.62,1989,21—26,Not Dual,#6,195458,Yes,2022,Elevator Apartments,254000,6,326,1935
ROCKMILLS MP300SS,HEV-E-OIL DEG 145P,1,12.6,1985,21—26,Not Dual,#6,80482,Yes,2020,Elevator Apartments,189592,6,144,1939
ROCKMILLS MP350,HEVE DEG 145P,1,13.48,1990,16—20,Not Dual,#6,97729,Yes,2014,Educational Structures,255200,6,166,1929
ROCKMILLS MP350,ICI DEG 145P,1,14.7,1986,21—26,Not Dual,#4,77000,Yes,2020,Elevator Apartments,253033,18,97,1910
ROCKMILLS MP350SL,IRON FIREMAN AGO 6-15RK,1,14,1987,21—26,Not Dual,#6,52500,Yes,2021,Walk-Up Apartments,254822,12,101,1900
ROCKMILLS MP4 - 69 (EXSTG),ICI MMG-30P (NEW),1,2.3,2005,5—10,DUAL FUEL,#4,14175,No,0,Elevator Apartments,46420,6,45,1909
ROCKMILLS MP4 69,HEVE MMG28,1,2.59,1989,21—26,Not Dual,#4,17246,No,0,Elevator Apartments,36500,6,36,1932
ROCKMILLS MP4-122,INDUSTRIAL COMBUSTION DEG54P,1,5,1980,26—30,Not Dual,#6,41991,Yes,2014,Elevator Apartments,88596,6,67,1937
ROCKMILLS MP4-122,HEV-E-OIL DEG 54-S,1,5.1,1980,26—30,DUAL FUEL,#6,72161,No,0,Churches,49600,5,62,1924
ROCKMILLS MP4-122,HEV-E-OIL MEG 54 P,1,5.9,1983,26—30,DUAL FUEL,#6,41562,Yes,2014,Elevator Apartments,75352,6,80,1920
ROCKMILLS MP4-122,IRON FIREMAN A06-6.3-RK,2,10.1,1978,31—35,Not Dual,#4,31937,Yes,2017,Elevator Apartments,120010,13,76,1926
ROCKMILLS MP4-132,ICI MEG 54 P,1,5.3,1980,26—30,Not Dual,#4,28743,No,0,Walk-Up Apartments,81000,6,0,1947
ROCKMILLS MP4-133,I.C.I. DE-42P,1,4.3,1981,26—30,Not Dual,#6,28700,Yes,2016,Elevator Apartments,53760,6,60,1940
ROCKMILLS MP4-133,I.C.I. DEG-54P,1,4.4,1979,31—35,Not Dual,#6,55580,Yes,2022,Elevator Apartments,58092,6,59,1928
ROCKMILLS MP4-133,ICI MEG 63 P,1,4.5,1986,21—26,Not Dual,#4,245000,Yes,2019,Condominiums,83050,10,22,1945
ROCKMILLS MP4-133,ICI ME54,1,4.8,1981,26—30,Not Dual,#6,29400,Yes,2022,Elevator Apartments,52200,5,53,1925
ROCKMILLS MP4-133,ICI-DEG-54P,1,4.8,1986,21—26,Not Dual,#6,35000,Yes,2015,Elevator Apartments,70344,6,54,1920
ROCKMILLS MP4-133,ICI DEG 54 P,1,4.9,1984,26—30,Not Dual,#6,28000,Yes,2019,Walk-Up Apartments,66190,6,75,1923
ROCKMILLS MP4-133,ICI DEG 54 P,1,4.9,1982,26—30,Not Dual,#6,31500,Yes,2014,Loft Buildings,56818,6,60,1940
ROCKMILLS MP4-133,ICI DEG 54P,1,4.9,1982,26—30,Not Dual,#6,35000,Yes,2022,Elevator Apartments,65862,6,71,1930
ROCKMILLS MP4-133,ICI DEG 54P,1,4.9,1982,26—30,Not Dual,#6,35000,Yes,2022,Hotels,66075,6,70,1930
ROCKMILLS MP4-133,ICI DEG 54P,1,5,1982,26—30,Not Dual,#6,29400,Yes,2016,Elevator Apartments,56178,6,61,1929
ROCKMILLS MP4-133,ICI DEG 54P,1,5,1985,21—26,Not Dual,#6,31500,Yes,2017,Elevator Apartments,65000,5,66,1926
ROCKMILLS MP4-133,ICI DEG 54P,1,5,1983,26—30,Not Dual,#6,31500,Yes,2014,Elevator Apartments,67104,6,67,1922
ROCKMILLS MP4-133,ICI DEG-54P,1,5,1982,26—30,Not Dual,#6,32200,Yes,2019,Educational Structures,63000,6,66,1940
ROCKMILLS MP4-133,ICI DEG 54P,1,5,1981,26—30,Not Dual,#4,35000,Yes,2017,Elevator Apartments,58585,5,74,1926
ROCKMILLS MP4-133,ICI DEG 54 P,1,5,1987,21—26,Not Dual,#6,37916,Yes,2017,Elevator Apartments,56700,5,70,1930
ROCKMILLS MP4-133,ICI DEG-54P,1,5.1,1980,26—30,Not Dual,#6,37201,Yes,2013,Walk-Up Apartments,63714,6,73,1927
ROCKMILLS MP4-133,INDUST COMB ME-63(P),1,5.1,1984,26—30,Not Dual,#4,38989,No,0,Elevator Apartments,17240,5,39,1930
ROCKMILLS MP4-133,ICI DEG-54P,1,5.25,1984,26—30,Not Dual,#4,28000,Yes,2016,Loft Buildings,66623,6,75,1925
ROCKMILLS MP4-133,INDUSTRIAL COMB. DEG-54 (P),1,5.25,1996,11—15,DUAL FUEL,#6,28744,Yes,2014,Elevator Apartments,61566,6,81,1927
ROCKMILLS MP4-133,ICI ME 54 P,1,5.3,1984,26—30,Not Dual,#6,35000,Yes,2019,Walk-Up Apartments,75415,6,73,1931
ROCKMILLS MP4-133,ICI DEG54 P,1,5.3,1980,26—30,Not Dual,#6,52591,Yes,2016,Elevator Apartments,53952,8,96,1911
ROCKMILLS MP4-133,ICI #MMG 54P,2,5.57,1981,26—30,Not Dual,#4,39375,Yes,2017,Elevator Apartments,120000,3,1,1916
ROCKMILLS MP4-133,HEV-E-OIL MM54P (I.C.I.),1,5.9,1979,31—35,Not Dual,#4,49980,Yes,2013,Elevator Apartments,76550,6,53,1900
ROCKMILLS MP4-133,ICI DEG 54P,1,8,1980,26—30,Not Dual,#6,45990,Yes,2016,Elevator Apartments,73995,6,71,1930
ROCKMILLS MP4-133 (EXSTG),IC   DEG 54P (NEW),1,4.45,2003,5—10,DUAL FUEL,#6,26368,Yes,2019,Elevator Apartments,64650,7,47,1901
ROCKMILLS MP4-133 (NEW),ICI DEG-42P ,1,4.4,2005,5—10,DUAL FUEL,#6,23532,Yes,2013,Walk-Up Apartments,52805,5,58,1922
ROCKMILLS MP4-162,ICI DEG 63P,1,5.95,1989,21—26,Not Dual,#6,42000,Yes,2020,Elevator Apartments,79956,6,84,1940
ROCKMILLS MP4-162,ICI DEG 63P,1,6,1981,26—30,Not Dual,#6,39200,Yes,2020,Churches,76584,6,82,1928
ROCKMILLS MP4-162,IND COMB DEG-63 (P),1,6,1985,21—26,Not Dual,#6,45607,No,0,Elevator Apartments,12890,5,15,1920
ROCKMILLS MP4-162,ICI DEG 63P,1,6.3,1982,26—30,Not Dual,#6,38500,Yes,2021,Office Buildings,67045,5,82,1925
ROCKMILLS MP4-162,I.C.I. DEG-63P,1,6.3,1981,26—30,Not Dual,#6,80482,Yes,2022,Elevator Apartments,75624,6,91,1962
ROCKMILLS MP4-162,HEV-E-OIL DE 84P,2,6.4,1977,31—35,Not Dual,#6,105777,Yes,2022,Walk-Up Apartments,175671,21,128,1965
ROCKMILLS MP4-186,ICI DEG 63P,1,6.4,1985,21—26,Not Dual,#6,49000,Yes,2015,Walk-Up Apartments,90273,9,76,1930
ROCKMILLS MP4-186,ICI DEG 63P,1,7,1982,26—30,Not Dual,#6,38500,Yes,2014,Elevator Apartments,75594,6,73,1929
ROCKMILLS MP4-186,ICI DEG 84 P,2,7,1986,21—26,Not Dual,#6,91980,Yes,2021,Elevator Apartments,130950,6,154,1965
ROCKMILLS MP4-186,HEV-E-OIL DE-84-S,1,7.8,1978,31—35,Not Dual,#6,57487,Yes,2013,Walk-Up Apartments,107231,14,25,1929
ROCKMILLS MP4-186,ICI-DEG84-P,1,7.89,1985,21—26,Not Dual,#6,49000,Yes,2016,Elevator Apartments,105360,6,97,1932
ROCKMILLS MP4-212,HEV-E OIL DE-84 (FIF),1,8.1,1977,31—35,Not Dual,#6,72940,Yes,2022,Elevator Apartments,100316,18,80,1931
ROCKMILLS MP4-212,INDUSTRIAL COMB.DEG 84 P,1,8.19,1997,11—15,DUAL FUEL,#6,44800,Yes,2016,Elevator Apartments,130500,6,118,1937
ROCKMILLS MP4-212,ICI HEV-E-OIL DEG84P,1,8.2,1980,26—30,Not Dual,#6,35055,Yes,2018,Elevator Apartments,115500,6,103,1930
ROCKMILLS MP4-212,ICI DEG 84 P,1,8.2,1988,21—26,Not Dual,#6,62777,Yes,2017,Elevator Apartments,106800,6,84,1937
ROCKMILLS MP4-212,INDUSTRIAL COMBUSTION DEG-84(P),1,8.2,1983,26—30,Not Dual,#6,62777,Yes,2014,Elevator Apartments,74664,6,96,1936
ROCKMILLS MP4-212  (EXSTG),ICI   DEG 84 (NEW),1,7.09,2003,5—10,DUAL FUEL,#6,44841,Yes,2017,Walk-Up Apartments,161422,14,116,1925
ROCKMILLS MP4-231,I.C.I. DEG-84P,1,10,1980,26—30,Not Dual,#6,109865,Yes,2020,Elevator Apartments,166617,15,89,1926
ROCKMILLS MP4-33,ICI-DEG 54P,1,4.96,1984,26—30,Not Dual,#6,35000,Yes,2016,Walk-Up Apartments,82800,6,67,1932
ROCKMILLS MP4-351,HEV-E DEG 145-P,1,14.77,1981,26—30,DUAL FUEL,#6,121069,Yes,2018,Walk-Up Apartments,195491,23,121,1930
ROCKMILLS MP4-399,HEV-E-OIL DE-175-P,1,16.4,1978,31—35,Not Dual,#6,86520,Yes,2016,Elevator Apartments,305597,16,43,1915
ROCKMILLS MP4-51,HEVE MMG22,1,2,1988,21—26,Not Dual,#4,16097,No,0,Condominiums,39000,5,37,1924
ROCKMILLS MP4-51,HEV-E-OIL AM 4 1/2 DH,1,2.1,1978,31—35,Not Dual,#4,15330,No,0,Elevator Apartments,33659,10,23,1923
ROCKMILLS MP4-51,HEVE MMG28,1,2.32,1989,21—26,Not Dual,#4,17246,No,0,Elevator Apartments,13446,4,17,1927
ROCKMILLS MP4-61,ICI AM 4 12 DH,1,2.3,1982,26—30,Not Dual,#4,17500,No,0,Condominiums,30126,6,31,1939
ROCKMILLS MP4-61,HEVEOIL  AM  4 1/2  DH,1,2.32,1979,31—35,Not Dual,#4,29689,No,0,Walk-Up Apartments,26650,5,32,1912
ROCKMILLS MP4-61,ICI MMG34P,1,2.59,1984,26—30,Not Dual,#4,17500,No,0,Elevator Apartments,27900,5,36,1926
ROCKMILLS MP4-61,I.C.I. # MMG 34P,1,2.6,1983,26—30,Not Dual,#4,23302,No,0,Condominiums,28480,4,32,1920
ROCKMILLS MP4-69,ICI MMG-34P,1,2.6,1984,26—30,Not Dual,#4,17500,No,0,Walk-Up Apartments,30075,5,37,1927
ROCKMILLS MP4-69,ICI MMG28,1,2.89,1989,21—26,DUAL FUEL,#4,14000,No,0,Hotels,22880,8,1,1900
ROCKMILLS MP4-69,INDUSTRI COMBUS MMG-28-P,1,2.9,1984,26—30,Not Dual,#4,21462,No,0,Hotels,33750,5,35,1924
ROCKMILLS MP4-78,ICI MMG 34P,1,3.1,1983,26—30,Not Dual,#4,12250,No,0,Walk-Up Apartments,31014,6,30,1920
ROCKMILLS MP4-78,ICI MMG34P,1,3.1,1983,26—30,Not Dual,#4,19600,No,0,Condominiums,44550,5,49,1926
ROCKMILLS MP4-78,ICI DEG 42 YP,1,3.1,1983,26—30,Not Dual,#6,24500,No,0,Office Buildings,43994,6,48,1925
ROCKMILLS MP4-78,ICI ME-34P,1,3.14,1982,26—30,Not Dual,#6,33215,No,0,Walk-Up Apartments,49770,6,48,1931
ROCKMILLS MP4-78,HEV-E-OIL MM34S,1,3.26,1978,31—35,DUAL FUEL,#4,21462,No,0,Elevator Apartments,31614,6,49,1910
ROCKMILLS MP4-78,ICI DEG 42 YP,1,3.4,1983,26—30,DUAL FUEL,#6,27882,No,0,Walk-Up Apartments,45810,6,42,1936
ROCKMILLS MP4-78,INDUSTRIAL COMBUSTION MMG-34-P,1,4,1982,26—30,DUAL FUEL,#4,8733,Yes,2014,Elevator Apartments,67964,2,5,1919
ROCKMILLS MP4-89,INDUSTRIAL COMBUSTION MMG-34P,1,3.4,1982,26—30,Not Dual,#4,17246,No,0,Walk-Up Apartments,41664,6,48,1929
ROCKMILLS MP4-89,HEV-E-OIL AM5CM,1,3.4,1976,31—35,Not Dual,#4,25039,No,0,Elevator Apartments,45000,5,53,1928
ROCKMILLS MP4-89,I.C.I. MMG-42P,1,3.5,1982,26—30,Not Dual,#4,26250,No,0,Walk-Up Apartments,44550,5,52,1927
ROCKMILLS MP40,ICI - MMG 22,1,1.72,1984,26—30,Not Dual,#4,10500,No,0,Elevator Apartments,9230,5,13,1920
ROCKMILLS MP40,ICI MMG-22,1,1.72,1990,16—20,Not Dual,#4,14000,No,0,Walk-Up Apartments,17625,5,26,1915
ROCKMILLS MP40,HEV-E-OIL AM4DH,1,1.73,1974,36—40,Not Dual,#4,10220,No,0,Elevator Apartments,35258,5,14,1925
ROCKMILLS MP400,ICI DEG 175P,1,16.47,1982,26—30,Not Dual,#6,91980,Yes,2019,Elevator Apartments,329116,17,108,1929
ROCKMILLS MP400,I.C. DEG-175 P,1,16.48,1999,11—15,DUAL FUEL,#6,98868,Yes,2016,Condominiums,305597,16,43,1915
ROCKMILLS MP4186,ICI DEG 84P,1,7.89,1985,21—26,Not Dual,#6,23100,Yes,2020,Walk-Up Apartments,129677,6,98,1929
ROCKMILLS MP4399,HEVE OIL DE 175 P,2,16.77,1979,31—35,Not Dual,#6,240579,Yes,2013,Walk-Up Apartments,418312,26,776,1930
ROCKMILLS MP450,IRON FIREMAN AGO-6-22.5 RK,1,18.9,1982,26—30,Not Dual,#6,112420,Yes,2022,Elevator Apartments,389927,21,0,1904
ROCKMILLS MP50,HEV-E-OIL AM4DH,1,1.7,1971,36—40,Not Dual,#4,12264,No,0,Elevator Apartments,14224,4,10,1910
ROCKMILLS MP50,ICI AM4 1/2DH,1,1.9,1984,26—30,Not Dual,#4,15400,No,0,Elevator Apartments,28600,4,31,1926
ROCKMILLS MP50,ICI MMG22,1,2,1996,11—15,DUAL FUEL,#4,11112,No,0,Elevator Apartments,25668,6,41,1920
ROCKMILLS MP50,ICI MMG 22,1,2,1984,26—30,Not Dual,#4,14000,No,0,Elevator Apartments,27000,5,31,1912
ROCKMILLS MP50,ICI MMG22,1,2,1985,21—26,Not Dual,#4,17500,No,0,Walk-Up Apartments,27720,5,32,1926
ROCKMILLS MP50,ICI MMG 22,1,2.03,1990,16—20,Not Dual,#4,10500,No,0,Elevator Apartments,21258,6,25,1929
ROCKMILLS MP50,ICI MMG 22,1,2.03,1988,21—26,Not Dual,#4,10500,No,0,Loft Buildings,17200,5,20,1907
ROCKMILLS MP50,HEVE MMG22  ( I.C.I. ),1,2.03,1989,21—26,Not Dual,#4,11498,No,0,Elevator Apartments,15020,6,24,1914
ROCKMILLS MP50,SUPERIOR AB 125,1,5.2,1972,36—40,Not Dual,#6,42910,Yes,2015,Elevator Apartments,99435,15,48,1929
ROCKMILLS MP60,ICI AMG-4 3/4,1,1,1982,26—30,Not Dual,#4,14000,No,0,Elevator Apartments,25500,5,31,1920
ROCKMILLS MP60,ICI-MMG 2B,1,2,1986,21—26,Not Dual,#4,16352,No,0,Elevator Apartments,30264,4,33,1928
ROCKMILLS MP60,ICI MMG 28P,1,2.1,1986,21—26,Not Dual,#4,14000,No,0,Walk-Up Apartments,33425,5,34,1927
ROCKMILLS MP60,ICI MM 28,1,2.1,1986,21—26,Not Dual,#4,14308,No,0,Office Buildings,28700,6,33,1963
ROCKMILLS MP60,HEV-E-OIL AM41/2DH,1,2.1,1971,36—40,Not Dual,#4,18830,No,0,Elevator Apartments,17600,5,16,1911
ROCKMILLS MP60,I.C.I. MMG-30,1,2.1,1985,21—26,Not Dual,#4,26828,No,0,Elevator Apartments,37500,5,38,1925
ROCKMILLS MP60,I.C.I MMG 28,1,2.3,1986,21—26,Not Dual,#4,11200,No,0,Elevator Apartments,37200,5,33,1927
ROCKMILLS MP60,ICI AMG4 3/4,1,2.3,1982,26—30,Not Dual,#4,14000,No,0,Walk-Up Apartments,17970,5,23,1915
ROCKMILLS MP60,ICI-MMG28,1,2.3,1986,21—26,DUAL FUEL,#4,19829,No,0,Elevator Apartments,27100,5,32,1923
ROCKMILLS MP60,ICI AMG 4 3/4,1,2.3,1983,26—30,DUAL FUEL,#4,27509,No,0,Elevator Apartments,25600,4,38,1931
ROCKMILLS MP60,ICI MMG28,1,2.32,1988,21—26,Not Dual,#4,12600,No,0,Educational Structures,17612,4,22,1928
ROCKMILLS MP60,ICI MMG28,1,2.32,1989,21—26,Not Dual,#4,14000,No,0,Walk-Up Apartments,21636,5,32,1914
ROCKMILLS MP60,ICI MMG28,1,2.32,1989,21—26,Not Dual,#4,15400,No,0,Walk-Up Apartments,27500,5,31,1914
ROCKMILLS MP60,ICI MMG 28,1,2.32,1989,21—26,Not Dual,#4,16100,No,0,Walk-Up Apartments,29710,5,29,1922
ROCKMILLS MP60,ICI MMG28,1,2.32,1989,21—26,Not Dual,#4,17500,No,0,Educational Structures,28856,6,33,1929
ROCKMILLS MP60,ICI MMG 28,1,2.32,1986,21—26,Not Dual,#4,17500,No,0,Elevator Apartments,31935,5,38,1923
ROCKMILLS MP60,ICI MMG28,1,2.59,1989,21—26,Not Dual,#4,10500,No,0,Educational Structures,38276,9,25,1923
ROCKMILLS MP60,ICI MMG28,1,2.59,1990,16—20,Not Dual,#4,14000,No,0,Elevator Apartments,27965,5,33,1910
ROCKMILLS MP60,HEVE MMG 28,1,2.59,1990,16—20,Not Dual,#4,17253,No,0,Elevator Apartments,29700,5,38,1922
ROCKMILLS MP60,ICI MMG28,1,2.59,1988,21—26,Not Dual,#4,17500,No,0,Elevator Apartments,44100,6,48,1925
ROCKMILLS MP60,ICI MMG28,1,2.59,1991,16—20,Not Dual,#4,21000,No,0,Elevator Apartments,42500,5,42,1926
ROCKMILLS MP60,ICI MMG 34P,1,2.6,1984,26—30,DUAL FUEL,#4,10500,No,0,Loft Buildings,32100,6,35,1930
ROCKMILLS MP60,ICI MM628,1,2.6,1984,26—30,Not Dual,#4,12600,No,0,Elevator Apartments,25956,6,26,1920
ROCKMILLS MP60,ICI MM28,1,2.6,1989,21—26,Not Dual,#4,15330,No,0,Office Buildings,32000,6,30,1938
ROCKMILLS MP60,ICI MMG 30,1,2.6,1985,21—26,Not Dual,#4,15400,No,0,Elevator Apartments,23020,5,31,1930
ROCKMILLS MP60,ICI MMG 34P,1,2.6,1981,26—30,Not Dual,#4,16100,No,0,Elevator Apartments,28100,5,31,1915
ROCKMILLS MP60,ICI MMG28,1,2.6,1989,21—26,Not Dual,#4,17500,No,0,Elevator Apartments,23030,5,30,1915
ROCKMILLS MP60,ICI MMG28,1,2.6,1991,16—20,Not Dual,#4,17500,No,0,Elevator Apartments,35454,5,38,1925
ROCKMILLS MP60,ICI MMG 34 P,1,2.6,1984,26—30,Not Dual,#4,17500,No,0,Elevator Apartments,37000,5,37,1922
ROCKMILLS MP60,ICI MMG34P,1,2.6,1980,26—30,Not Dual,#4,17500,No,0,Educational Structures,34640,6,19,1927
ROCKMILLS MP60,ICI MMG 34P,1,2.6,1984,26—30,Not Dual,#4,18900,No,0,Walk-Up Apartments,26315,5,36,1922
ROCKMILLS MP60,ICI MMG28,1,2.6,1989,21—26,Not Dual,#4,19600,No,0,Elevator Apartments,27200,5,37,1923
ROCKMILLS MP600,JOHNSON FD 68 AHM-500,3,23.52,1978,31—35,Not Dual,#6,35000,Yes,2017,Elevator Apartments,814377,48,705,1978
ROCKMILLS MP70,I.C.I. MMG30,1,2.5,1986,21—26,Not Dual,#4,19600,No,0,Warehouses,31500,5,40,1916
ROCKMILLS MP70,ICI MMG22,1,2.59,1990,16—20,Not Dual,#4,15400,No,0,Walk-Up Apartments,34386,5,29,1939
ROCKMILLS MP70,ICI MMG 30,1,2.59,1988,21—26,Not Dual,#4,16100,No,0,Elevator Apartments,35290,6,32,1925
ROCKMILLS MP70,ICI - MMG 30,1,2.59,1988,21—26,Not Dual,#4,17500,No,0,Elevator Apartments,29400,5,37,1917
ROCKMILLS MP70,ICI MMG 30,1,2.59,1989,21—26,Not Dual,#4,17500,No,0,Elevator Apartments,32300,6,34,1936
ROCKMILLS MP70,ICI MMG 34P,1,2.59,1985,21—26,Not Dual,#4,21000,No,0,Elevator Apartments,40986,6,42,1927
ROCKMILLS MP70,ICI MMG 30,1,2.59,1990,16—20,Not Dual,#4,21000,No,0,Elevator Apartments,41300,5,46,1926
ROCKMILLS MP70,ICI MMG-30,1,2.59,1990,16—20,Not Dual,#4,21000,No,0,Elevator Apartments,27055,5,40,1940
ROCKMILLS MP70,ICI MMG34P,1,2.59,1981,26—30,Not Dual,#4,23633,No,0,Cultural & Public Assembly,48552,8,40,1900
ROCKMILLS MP70,ICI MMG30,1,2.59,1988,21—26,Not Dual,#4,24500,No,0,Loft Buildings,31875,5,37,1923
ROCKMILLS MP70,ICI MMG 30,1,2.59,1988,21—26,Not Dual,#4,24500,No,0,Elevator Apartments,36623,6,61,1905
ROCKMILLS MP70,ICI MMG28,1,2.59,1989,21—26,Not Dual,#4,24528,Yes,2018,Elevator Apartments,57272,6,55,1941
ROCKMILLS MP70,ICI MMG 34P,1,2.6,1984,26—30,Not Dual,#4,2100,No,0,Elevator Apartments,42000,5,41,1926
ROCKMILLS MP70,I C I MMG 30P,1,2.6,1985,21—26,Not Dual,#4,17247,No,0,Loft Buildings,31875,5,39,1926
ROCKMILLS MP70,ICI MMG 34P,1,2.6,1986,21—26,Not Dual,#4,17500,No,0,Elevator Apartments,47448,6,35,1931
ROCKMILLS MP70,ICI MMG34P,1,2.6,1984,26—30,Not Dual,#4,19600,No,0,Elevator Apartments,33350,6,42,1923
ROCKMILLS MP70,ICI MMG 30,1,2.6,1985,21—26,Not Dual,#4,19600,No,0,Elevator Apartments,40800,6,41,1926
ROCKMILLS MP70,ICI MMG 34P,1,2.6,1985,21—26,Not Dual,#4,20849,No,0,Elevator Apartments,33000,5,35,1924
ROCKMILLS MP70,ICI MMG30,1,2.6,1985,21—26,Not Dual,#4,21000,No,0,Elevator Apartments,34008,6,43,1939
ROCKMILLS MP70,ICI MMG 34(P),1,2.6,1982,26—30,DUAL FUEL,#4,145628,No,0,Elevator Apartments,26300,5,35,1925
ROCKMILLS MP70,ICI MMG 34P,1,2.77,1989,21—26,Not Dual,#4,21000,No,0,Elevator Apartments,37002,6,42,1915
ROCKMILLS MP70,ICI MMG28,1,2.77,1988,21—26,Not Dual,#4,21000,No,0,Elevator Apartments,38623,7,50,1940
ROCKMILLS MP70,ICI MMG28,1,2.8,1989,21—26,Not Dual,#4,16352,No,0,Elevator Apartments,34800,6,44,1941
ROCKMILLS MP70,ICI DEG42YP,1,2.8,1982,26—30,Not Dual,#6,17500,No,0,Elevator Apartments,41034,9,36,1922
ROCKMILLS MP70,ICI MMG34P,1,2.8,1984,26—30,Not Dual,#4,17500,No,0,Elevator Apartments,29250,6,36,1917
ROCKMILLS MP70,ICI DEG42YP,1,2.8,1981,26—30,Not Dual,#4,18200,No,0,Office Buildings,32400,3,36,1939
ROCKMILLS MP70,ICI DEG42P,1,2.8,1983,26—30,Not Dual,#6,21000,No,0,Elevator Apartments,44916,6,49,1948
ROCKMILLS MP70,I.C.I. DEG 42-YP,1,2.8,1984,26—30,Not Dual,#4,21053,No,0,Elevator Apartments,37716,6,43,1931
ROCKMILLS MP70,ICI DEG42Y,1,2.8,1983,26—30,Not Dual,#6,22400,No,0,Elevator Apartments,48000,6,47,1936
ROCKMILLS MP70,ICI AMG 4 3/4,1,2.8,1980,26—30,Not Dual,#4,24500,No,0,Loft Buildings,26577,5,35,1928
ROCKMILLS MP70,ICI DEG 42YP,1,2.8,1981,26—30,Not Dual,#6,24528,No,0,Walk-Up Apartments,41694,5,47,1922
